controller,seed,CI,AI,delta,fracF,fracM,wingHz,aIPgHz,disp,finalX
iso_only,1012,0.83692,0.149486,0.687434,0.77,0.42,4.487,0.00792,2.28,-0.4
iso_only,1013,0.807422,0.147327,0.660096,0.7428,0.42,4.4738,0.00502,2.4,-0.32
iso_only,1014,0.828378,0.150537,0.677841,0.7621,0.42,4.4935,0.00627,2.52,-0.24
iso_only,1015,0.806675,0.172633,0.634042,0.7421,0.42,4.3221,0.00712,2.64,-0.16
female_swap,1000,0.840492,0.379472,0.461019,0.7733,0.3339,4.9428,0.70534,1.92,0.4
female_swap,1001,0.805321,0.346906,0.458415,0.7409,0.3053,5.4039,0.74495,2.04,-0.4
female_swap,1002,0.768853,0.375767,0.393086,0.7073,0.3307,5.1615,0.74214,2.16,-0.32
female_swap,1003,0.849149,0.369332,0.479816,0.7812,0.325,4.7061,0.59924,2.28,-0.24
female_swap,1004,0.797163,0.391602,0.405561,0.7334,0.3446,4.8706,0.67882,2.4,-0.16
female_swap,1005,0.848707,0.360275,0.488432,0.7808,0.317,4.5441,0.70821,2.52,-0.08
female_swap,1006,0.856831,0.385533,0.471298,0.7883,0.3393,5.7595,0.7999,2.64,0.0
female_swap,1007,0.828711,0.403063,0.425649,0.7624,0.3547,5.3404,0.70104,2.76,0.08
female_swap,1008,0.847783,0.382226,0.465557,0.78,0.3364,5.0518,0.67944,1.8,0.16
female_swap,1009,0.765684,0.400059,0.365625,0.7044,0.3521,4.9057,0.67594,1.92,0.24
female_swap,1010,0.831132,0.395867,0.435265,0.7646,0.3484,5.0797,0.58536,2.04,0.32
female_swap,1011,0.80469,0.363822,0.440868,0.7403,0.3202,4.6316,0.71052,2.16,0.4
female_swap,1012,0.801227,0.379235,0.421992,0.7371,0.3337,4.9406,0.77038,2.28,-0.4
female_swap,1013,0.838863,0.379608,0.459255,0.7718,0.3341,5.123,0.79815,2.4,-0.32
female_swap,1014,0.852004,0.379259,0.472745,0.7838,0.3337,4.6814,0.77713,2.52,-0.24
female_swap,1015,0.83139,0.387974,0.443416,0.7649,0.3414,4.8572,0.76345,2.64,-0.16
shuffle_sex,1000,0.844505,0.594447,0.250058,0.7769,0.5231,5.033,2.14187,1.92,0.4
shuffle_sex,1001,0.860859,0.614818,0.246041,0.792,0.541,4.1571,2.16636,2.04,-0.4
shuffle_sex,1002,0.839068,0.577751,0.261316,0.7719,0.5084,4.3426,2.16663,2.16,-0.32
shuffle_sex,1003,0.870678,0.579582,0.291097,0.801,0.51,4.5123,1.94955,2.28,-0.24
shuffle_sex,1004,0.855985,0.588502,0.267483,0.7875,0.5179,4.669,1.80506,2.4,-0.16
shuffle_sex,1005,0.873752,0.594843,0.278909,0.8039,0.5235,4.4977,1.94145,2.52,-0.08
shuffle_sex,1006,0.888079,0.617454,0.270625,0.817,0.5434,4.2421,1.98926,2.64,0.0
shuffle_sex,1007,0.921471,0.600304,0.321167,0.8478,0.5283,4.7653,1.73716,2.76,0.08
shuffle_sex,1008,0.843804,0.565333,0.278471,0.7763,0.4975,3.9629,1.88662,1.8,0.16
shuffle_sex,1009,0.876466,0.603858,0.272608,0.8063,0.5314,4.5664,1.81036,1.92,0.24
shuffle_sex,1010,0.879472,0.551335,0.328137,0.8091,0.4852,4.7677,1.82333,2.04,0.32
shuffle_sex,1011,0.847387,0.597315,0.250072,0.7796,0.5256,4.4645,1.8914,2.16,0.4
shuffle_sex,1012,0.902493,0.630512,0.271981,0.8303,0.5549,4.9527,2.00102,2.28,-0.4
shuffle_sex,1013,0.889051,0.60442,0.284631,0.8179,0.5319,4.3699,1.69259,2.4,-0.32
shuffle_sex,1014,0.880349,0.602714,0.277634,0.8099,0.5304,4.8641,1.82398,2.52,-0.24
shuffle_sex,1015,0.84658,0.548811,0.297769,0.7789,0.483,4.3125,1.86137,2.64,-0.16
